id,pt,en
BTN_SAIR_SEM_SALVAR,Sair sem salvar,Exit without saving
BTN_NEW_USER,Novo usuário,New user
BTN_PLAY_GAME,Jogar,Play game
BTN_EDIT_USER,Editar,Edit
POPUP_SAVE_TITULO,Criar novo save,Create new save
POPUP_SAVE_MENSAGEM,Digite o nome do jogador para criar um novo save.,Enter the player name to create a new save.
POPUP_SAVE_PLACEHOLDER,Nome do jogador,Player name
POPUP_SAVE_ERRO,O nome precisa ter pelo menos 2 caracteres.,The name must have at least 2 characters.
POPUP_ALERTA_TITULO,Atenção,Warning
POPUP_ALERTA_MENSAGEM,Confirme para continuar.,Confirm to continue.
POPUP_OPCOES_SEM_SALVAR_TITULO,Alterações não salvas,Unsaved changes
POPUP_OPCOES_SEM_SALVAR_MENSAGEM,Você alterou opções e ainda não salvou. Deseja sair e descartar essas mudanças?,You changed options and have not saved yet. Exit and discard these changes?
POPUP_DELETE_SAVE_TITULO,Excluir save,Delete save
POPUP_DELETE_SAVE_MENSAGEM,Tem certeza que deseja excluir este save? Esta ação não pode ser desfeita.,Are you sure you want to delete this save? This action cannot be undone.
POPUP_EDIT_SAVE_TITULO,Editar save,Edit save
POPUP_EDIT_SAVE_MENSAGEM,Digite o novo nome deste save.,Enter the new name for this save.
,,
,,
,,
,,
,,
,,
,,
HELP_CREATE_CHARACTER,Area dedicada a criação de personagens customizados,Area dedicated to creating custom characters
HELP_SCENE_TUTORIAL,Aprenda as técnicas do jogo para se tornar o melhor,Learn the game's techniques to become the best.
HELP_PROCEDURAL_TRANING,Gere cenas procedurais para treinar suas habilidades nos mais diversos cenarios,Generate procedural scenes to hone your skills across a wide variety of scenarios.
HELP_MOD_BASE,Essa area ainda esta em desenvolvimento! Verifique se essa area ja esta disponivel nas ultimas atulisações,This land is still under development! Check the latest updates to see if this area is already available
BTN_SAVE_SECTION,Salvar esta seção,Save this section
BTN_RESTORE_SECTION,Restaurar padrão da seção,Restore section defaults
BTN_SALVAR_TUDO,Salvar tudo,Save all
POPUP_OPCOES_SEM_SALVAR_MENSAGEM_LISTA,"As configurações: %s não foram salvas. Deseja salvar tudo, sair sem salvar ou cancelar e retornar à edição?","The following settings were not saved: %s. Do you want to save all, exit without saving, or cancel and return to editing?"
TITLE_BASE_SAVE,Perfis,Profiles
PROFILE_NEW,Novo Perfil,New Profile
POPUP_PROFILE_NAME_TITLE,Novo perfil,New profile
POPUP_PROFILE_NAME_MESSAGE,Digite um nome para salvar esta customização.,Enter a name to save this customization.
POPUP_PROFILE_NAME_PLACEHOLDER,Nome do perfil,Profile name
POPUP_PROFILE_UNSAVED_TITLE,Alterações não salvas,Unsaved changes
POPUP_PROFILE_UNSAVED_MESSAGE,Existem mudanças na personagem que ainda não foram salvas. Deseja sair e descartá-las?,The character has unsaved changes. Do you want to exit and discard them?
